module,submodule,gene,symbol_notes,role_in_hypothesis,scoring_note,on_panel,per_cell_detection_rate_malignant,keep_in_scored_module
Discriminator_Cav,Cav,CACNA1G,Cav3.1 (T-type),Low-threshold Ca,Score separately,yes,,
Discriminator_Cav,Cav,CACNA1H,Cav3.2 (T-type),Low-threshold Ca,Score separately,yes,,
Glutamatergic,AMPA,GRIA1,GluA1,Venkatesh AMPAR synapse axis,Glutamatergic module,yes,,
Glutamatergic,AMPA,GRIA2,GluA2 (Q/R editing),Ca-permeability; Venkatesh key gene,Glutamatergic module,yes,,
Glutamatergic,AMPA,GRIA3,GluA3,AMPAR,Glutamatergic module,yes,,
Glutamatergic,AMPA,GRIA4,GluA4,AMPAR,Glutamatergic module,yes,,
Glutamatergic,NMDA,GRIN1,GluN1,NMDAR,Glutamatergic module,yes,,
Glutamatergic,NMDA,GRIN2A,GluN2A,NMDAR,Glutamatergic module,yes,,
Glutamatergic,NMDA,GRIN2B,GluN2B,NMDAR,Glutamatergic module,yes,,
Glutamatergic,Kainate,GRIK1,GluK1,Kainate R,Glutamatergic module,yes,,
Glutamatergic,Kainate,GRIK2,GluK2,Kainate R,Glutamatergic module,yes,,
Glutamatergic,Kainate,GRIK5,GluK5,Kainate R,Glutamatergic module,no,,
Glutamatergic,mGluR,GRM3,mGluR3,Metabotropic,Glutamatergic module,yes,,
Glutamatergic,mGluR,GRM5,mGluR5,Metabotropic,Glutamatergic module,yes,,
Glutamatergic,VGLUT,SLC17A7,VGLUT1,Glutamate loading; neuronal marker,Glutamatergic module / neuron marker,yes,,
Glutamatergic,VGLUT,SLC17A6,VGLUT2,Glutamate loading,Glutamatergic module,no,,
GABAergic_identity,GABA_synth_transport,GAD2,GAD65,GABAergic IDENTITY (Curry hybrid),GABAergic-IDENTITY module,yes,,
GABAergic_identity,GABA_transport,SLC32A1,VGAT,GABAergic IDENTITY,GABAergic-IDENTITY module,yes,,
GABAergic_identity,GABA_transport,SLC6A1,GAT1,GABA reuptake,GABAergic-IDENTITY module,yes,,
GABAergic_identity,GABAAR,GABRA1,GABA-A alpha1,GABAergic IDENTITY,GABAergic-IDENTITY module,no,,
GABAergic_identity,GABAAR,GABRA2,GABA-A alpha2,GABAergic IDENTITY,GABAergic-IDENTITY module,yes,,
GABAergic_identity,GABAAR,GABRA3,GABA-A alpha3,Tong flags alpha3 high,GABAergic-IDENTITY module,no,,
GABAergic_identity,GABAAR,GABRB2,GABA-A beta2,GABAergic IDENTITY,GABAergic-IDENTITY module,yes,,
GABAergic_identity,GABAAR,GABRB3,GABA-A beta3,Tong flags beta3 high,GABAergic-IDENTITY module,no,,
GABAergic_identity,GABAAR,GABRG2,GABA-A gamma2,Tong flags gamma high; Barron tagged subunit,GABAergic-IDENTITY module,no,,
GABAergic_identity,postsynaptic,GPHN,gephyrin,GABAergic postsynaptic scaffold,GABAergic-IDENTITY module,yes,,
GABAergic_identity,postsynaptic,NLGN2,neuroligin-2,GABAergic postsynaptic adhesion,GABAergic-IDENTITY module,no,,
GABAergic_identity,postsynaptic,ARHGEF9,collybistin,GABAergic postsynaptic,GABAergic-IDENTITY module,yes,,
GABA_metabolism_chloride,GABA_metabolism,GAD1,GAD67,Tong: metabolism UP but not identity,GABA-METABOLISM module - DO NOT MERGE,yes,,
GABA_metabolism_chloride,GABA_metabolism,ABAT,GABA transaminase,GABA catabolism,GABA-METABOLISM module,yes,,
GABA_metabolism_chloride,GABA_metabolism,ALDH5A1,SSADH,GABA catabolism,GABA-METABOLISM module,no,,
GABA_metabolism_chloride,Chloride,SLC12A2,NKCC1,Barron mechanism; depolarizing GABA,Chloride module - report NKCC1/KCC2 ratio,yes,,
GABA_metabolism_chloride,Chloride,SLC12A5,KCC2,Chloride extrusion; low = depolarizing GABA,Chloride module - report NKCC1/KCC2 ratio,no,,
Cholinergic,cholinergic,CHRM3,M3 muscarinic,Tong flags cholinergic signaling,Neurotransmitter-signaling module - expect sparse,yes,,
Cholinergic,cholinergic,CHRNA7,alpha7 nicotinic,Cholinergic,Neurotransmitter-signaling module,yes,,
Cholinergic,cholinergic,CHAT,choline acetyltransferase,Cholinergic identity,Neurotransmitter-signaling module,yes,,
Serotonergic,serotonergic,HTR2A,5-HT2A,Tong flags serotonergic,Neurotransmitter-signaling module - expect sparse,yes,,
Serotonergic,serotonergic,HTR2C,5-HT2C,Serotonergic,Neurotransmitter-signaling module,yes,,
Synaptic_structural,adhesion,NRXN1,neurexin-1,aAP 'synaptic contact' signal (Tong CellChat),Synaptic-contact module,yes,,
Synaptic_structural,adhesion,NRXN3,neurexin-3,Synaptic adhesion,Synaptic-contact module,yes,,
Synaptic_structural,adhesion,NLGN1,neuroligin-1,Excitatory synaptic adhesion,Synaptic-contact module,no,,
Synaptic_structural,adhesion,NLGN3,neuroligin-3,Glioma paracrine driver; your OPC-like tie-in,Synaptic-contact module - cross-ref,yes,,
Synaptic_structural,postsynaptic,DLG4,PSD95,Excitatory postsynaptic scaffold,Synaptic-contact module,yes,,
Synaptic_structural,postsynaptic,HOMER1,Homer1,Postsynaptic scaffold,Synaptic-contact module,yes,,
Synaptic_structural,adhesion,CNTN1,contactin-1,Neural adhesion,Synaptic-contact module,yes,,
Synaptic_structural,adhesion,CNTNAP2,CASPR2,Neural adhesion,Synaptic-contact module,no,,
Synaptic_structural,adhesion,LRRTM2,LRRTM2,Excitatory synapse organizer,Synaptic-contact module,no,,
Synaptic_structural,adhesion,PTPRD,PTP-delta,Synapse organizer,Synaptic-contact module,no,,
Synaptic_structural,adhesion,PTPRS,PTP-sigma,Synapse organizer,Synaptic-contact module,yes,,
Synaptic_structural,adhesion,ADGRL1,latrophilin-1,Tong flags ADGRL synaptic pathway,Synaptic-contact module,yes,,
Synaptic_structural,adhesion,ADGRL3,latrophilin-3,Synaptic adhesion GPCR,Synaptic-contact module,yes,,
Gap_junction,gap_junction,GJA1,connexin-43,Venkatesh coupling; ephaptic confound,Coupling module,yes,,
Gap_junction,gap_junction,GJB1,connexin-32,Gap junction,Coupling module,yes,,
Gap_junction,gap_junction,GJC2,connexin-47,Oligo/OPC gap junction,Coupling module,no,,
Gap_junction,pannexin,PANX1,pannexin-1,Channel/coupling,Coupling module,yes,,
Gap_junction,pannexin,PANX2,pannexin-2,Channel/coupling,Coupling module,no,,
Neftel_state,NPC_like,DLL3,,NPC-like state marker,Neftel scoring - you have these,yes,,
Neftel_state,NPC_like,SOX4,,NPC-like state marker,Neftel scoring,yes,,
Neftel_state,OPC_like,PDGFRA,,OPC-like identity (GABA-OPC test),OPC-IDENTITY module,yes,,
Neftel_state,OPC_like,CSPG4,NG2,OPC-like identity,OPC-IDENTITY module,yes,,
Neftel_state,OPC_like,OLIG1,,OPC-like identity,OPC-IDENTITY module,yes,,
Neftel_state,OPC_like,OLIG2,,OPC-like identity,OPC-IDENTITY module,yes,,
Neftel_state,OPC_like,SOX10,,OPC/oligo lineage identity,OPC-IDENTITY module,yes,,
Neftel_state,AC_like,GFAP,,AC-like state marker,Neftel scoring,yes,,
Neftel_state,AC_like,AQP4,,AC-like state marker,Neftel scoring,yes,,
Neftel_state,MES_like,CHI3L1,YKL-40,MES-like state marker,Neftel scoring,yes,,
Neftel_state,MES_like,VIM,vimentin,MES-like state marker,Neftel scoring,yes,,
Proliferation,cycling,MKI67,Ki67,Proliferation - anti-correlate test,Proliferation module,yes,,
Proliferation,cycling,TOP2A,,Proliferation,Proliferation module,yes,,
Proliferation,cycling,CCNB1,cyclin B1,G2/M,Proliferation module,yes,,
Proliferation,cycling,CCND2,cyclin D2,Tong G1-S gene enriched in GBCs,Proliferation module,yes,,
Proliferation,cycling,PCNA,,Proliferation,Proliferation module,yes,,
Control_neuron_tracer,neuron_marker,RBFOX3,NeuN,Neuron marker - SPILLOVER TRACER,Adjacency spillover control - NOT scored on tumor,yes,,
Control_neuron_tracer,neuron_marker,SNAP25,,Neuron marker; your cluster tie-in,Spillover tracer + neuron ID,yes,,
Control_neuron_tracer,neuron_marker,SYT1,synaptotagmin-1,Presynaptic neuron marker,Spillover tracer,yes,,
